foundation_date,first_funding_age,last_funding_age,first_milestone_age,last_milestone_age,total_funding,roundA,roundB,roundC,roundD,in_Top500,Target,connections_bins,funding_rounds_bins,milestones_bins,avg_group_size_bins,state_code_bins,category_bins
0.7852869695270144,0.3650610002423851,0.3894093883816757,0.590287955328852,0.5337787907309599,0.0005478696005857593,0,0,0,0,0,1,0,2,2,0,0,0
0.5462703309029726,0.45803021733861193,0.6154609356063666,0.6381235825343672,0.5415937418162113,0.06050412272253972,0,1,1,1,1,1,1,3,0,2,0,1
0.8607216302112546,0.32574937383857155,0.32574937383857155,0.5245625813635508,0.41713533037226036,0.0039060234884736775,1,0,0,0,1,1,0,0,1,2,0,2
0.6146008599738269,0.39357194796800515,0.46414155288034253,0.6175974520415599,0.5155923053587126,0.060353194457915545,0,1,1,1,1,1,0,2,0,2,0,3
0.9075528136100206,0.2923681021249091,0.34629070049284966,0.49551528201937173,0.36094495048888825,0.001943956048359388,0,0,0,0,1,0,0,1,0,0,0,4
0.6146008599738269,0.4392599175890765,0.4392599175890765,0.597128634238601,0.48966346964122276,0.011301508455058309,0,1,0,0,1,0,0,0,0,1,0,0
0.7170499158721257,0.34797123697180254,0.4607772481215157,0.556135732824615,0.5312922153856526,0.03922323741053089,1,1,0,0,1,1,1,2,1,1,0,3
0.6828379136287157,0.34558293609113677,0.5108895532035227,0.6094672376102246,0.5508270002152094,0.05144842684508916,1,1,0,1,1,1,3,2,2,2,0,0
0.6146008599738269,0.4082701785570009,0.651495515876222,0.6585924003373261,0.6190950317757883,0.014546466144478094,1,0,0,1,1,1,2,2,3,2,1,5
0.7311647036829314,0.34637795911771835,0.44377474347580187,0.5544531960012118,0.5185067064933584,0.008660263824135227,1,0,0,0,1,1,2,2,3,0,0,2
0.5760889885959992,0.4419164579461905,0.5977506665589399,0.7021643727944848,0.6360732334036006,0.04148716137989353,1,1,0,0,1,1,3,2,2,0,0,5
0.75116844269957,0.32742991031752444,0.4648493172820554,0.4821123001219942,0.4794345439506731,0.015678428129159414,1,0,0,0,1,0,1,4,1,1,0,2
0.6828379136287157,0.45085885109477253,0.45085885109477253,0.0,0.0,0.0005101375344297152,0,0,0,0,0,0,0,0,0,0,2,2
0.8160403813796973,0.29298860790175324,0.3710818453583259,0.510991755160189,0.47346831885207863,0.014999250938350623,1,1,1,0,1,1,2,2,2,1,3,0
0.5804823331463826,0.4431574694998788,0.583142926395734,0.6756408786854107,0.5891187048027984,0.016131212923031945,1,1,0,0,1,1,2,4,0,1,2,3
0.5121518040755282,0.5059319705906116,0.5059319705906116,0.0,0.0,0.00028374513749345105,0,0,0,0,0,0,0,0,0,0,2,0
0.6487193868012713,0.37595216934636827,0.5109800436293124,0.6073364336769366,0.502594180013535,0.07393673827409139,1,1,1,1,1,0,1,4,0,2,0,0
0.563282856608712,0.440765936818292,0.5241722549890927,0.4845235268591827,0.6887139556772484,0.037713954764289126,1,1,1,1,1,1,1,3,2,2,0,4
0.8877360254253133,0.3163642239638038,0.3434564110850772,0.5210296634107601,0.4378057982062432,0.006886856714801156,1,0,0,0,1,1,1,2,2,2,3,2
0.7852869695270144,0.37320837036438553,0.3838312999919205,0.5579308481459345,0.45052389212567195,0.04224180270301441,1,1,0,0,1,0,2,1,2,0,0,1
0.5804823331463826,0.36391047911448654,0.4147337803991274,0.5783996659488935,0.6062369221434851,0.006554814532627969,1,0,0,0,0,1,1,1,2,1,4,3
0.6828379136287157,0.4162397996283429,0.4162397996283429,0.5715016743492963,0.4572005673229256,0.022621128301871518,0,1,0,0,1,0,0,0,0,1,2,0
0.6146008599738269,0.4698068998949665,0.4698068998949665,0.4947292794157381,0.35994928319733666,0.004766314596831482,1,0,0,0,0,0,0,0,0,1,0,2
0.8194054963544588,0.2600500929142765,0.3995055344590773,0.5703799831336942,0.5067842798654812,0.0034532386946011496,1,0,0,0,0,0,0,1,2,1,0,5
0.7965040194428865,0.3005154722469096,0.3032592712288923,0.0,0.0,0.0006686122122851002,1,0,0,0,1,0,0,1,0,2,2,0
0.6146008599738269,0.44882281651450273,0.44882281651450273,0.515198097218697,0.38587811891482643,0.019602563009387994,0,0,1,0,1,1,0,0,0,2,2,3
0.6487193868012713,0.42358891492284073,0.42358891492284073,0.556190998632683,0.4378057982062432,0.022621128301871518,0,0,1,0,1,1,1,0,0,2,0,0
0.8336137595812301,0.42385392259836796,0.42385392259836796,0.5647162612476154,0.4955596868833799,0.005717162663963791,0,1,0,0,1,1,0,0,2,1,0,0
0.7965040194428865,0.37338288761412297,0.43881716086289085,0.5956712544110303,0.5071395049148109,0.4520120411576526,1,0,1,0,1,1,4,4,1,1,4,2
0.7304169003552066,0.3307942150763513,0.3307942150763513,0.5395355215864153,0.561553759551535,0.0014911712544868599,0,0,0,0,1,1,0,0,2,1,0,0
0.7852869695270144,0.3361072957905793,0.36231720126040234,0.5872033044859462,0.47709057720181197,0.015829356393783592,1,1,0,0,1,0,0,1,0,1,0,0
